"Series","Indicator Name","Source","Source Organization","Source Note","Mean","Standard Error","Lower Bound","Upper Bound","Variance","N"
"SE.LPV.PRIM","Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.1","(De Facto) Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP","Proficiency by End of Primary","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.LPV.PRIM.BMP.1","(De Facto) Percent of children proficient in literacy and numeracy by end of primary, as reported by UIS","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,NA
"SE.PRM.ATTD","Student Attendance","Global Education Policy Dashboard","World Bank","School Survey.  Percent of 4th grade students who are present during an unannounced visit.",67.6630843859975,2.977053339335582,61.78038775678679,73.5457810152082,8.862846585249141,185
"SE.PRM.ATTD.1","(De Facto) Percent of 4th grade students present during an unannounced visit","Global Education Policy Dashboard","World Bank",NA,67.6630843859975,2.977053339335582,61.78038775678679,73.5457810152082,8.862846585249141,185
"SE.PRM.ATTD.1.F","(De Facto) Percent of 4th grade students present during an unannounced visit - Female","Global Education Policy Dashboard","World Bank",NA,67.65756884502564,3.9229859555167077,59.90569690103502,75.40944078901626,15.389818807181337,159
"SE.PRM.ATTD.1.M","(De Facto) Percent of 4th grade students present during an unannounced visit - Male","Global Education Policy Dashboard","World Bank",NA,58.48554132933056,4.305431722174268,49.97795151067316,66.99313114798795,18.536742314304487,159
"SE.PRM.ATTD.1.R","(De Facto) Percent of 4th grade students present during an unannounced visit - Rural","Global Education Policy Dashboard","World Bank",NA,67.69589369060907,3.297651710218234,61.16137668522942,74.23041069598871,10.874506801905245,124
"SE.PRM.ATTD.1.U","(De Facto) Percent of 4th grade students present during an unannounced visit - Urban","Global Education Policy Dashboard","World Bank",NA,67.40096857861727,4.68622859603631,57.914194758043976,76.88774239919056,21.960738454308444,61
"SE.PRM.BFIN","Politics & Bureaucratic Capacity - Financing","Global Education Policy Dashboard","World Bank","Expert Survey.",2.2431678,NA,NA,NA,NA,1
"SE.PRM.BFIN.1","Financing score; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness in terms of adequacy, efficiency, and equity.","Global Education Policy Dashboard","World Bank",NA,2.2431678,NA,NA,NA,NA,1
"SE.PRM.BFIN.2","(Financing) - Adequacy expressed by the per child spending","Global Education Policy Dashboard","World Bank",NA,1,NA,NA,NA,NA,1
"SE.PRM.BFIN.3","(Financing) Efficiency - Expressed by the score from the Public Expenditure and Financial Accountability (PEFA) assessment; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,3.2526712,NA,NA,NA,NA,1
"SE.PRM.BFIN.4","(Financing) Efficiency - Expressed by the relationship between financing and outcomes; where 0 is the lowest possible efficiency and 1 is the highest","Global Education Policy Dashboard","World Bank",NA,3.72,NA,NA,NA,NA,1
"SE.PRM.BFIN.5","(Financing) - Equity","Global Education Policy Dashboard","World Bank",NA,NA,NA,NA,NA,NA,1
"SE.PRM.BFIN.6","(Financing) - Does the country spend 4-5%  of GDP or 15-20% of public expenditures on education spending?","Global Education Policy Dashboard","World Bank",NA,1,NA,NA,NA,NA,1
"SE.PRM.BIMP","Politics & Bureaucratic Capacity - Impartial Decision-Making","Global Education Policy Dashboard","World Bank","Survey of Public officials. This module assesses the extent to which bureaucrats implement policies in an impartial way, meaning that decisions are free from political clientelism or undue influence from any single interest group.   Average score (1 (worst) , 5 (best)) on items given to public officials.",3.596919557416268,0.06634063509983093,3.4658438019806237,3.7279953128519123,0.00440107986544892,152
"SE.PRM.BIMP.1","Average score for Impartial Decision-Making; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,3.596919557416268,0.06634063509983093,3.4658438019806237,3.7279953128519123,0.00440107986544892,152
"SE.PRM.BIMP.2","(Impartial Decision-Making) average score for politicized personnel management","Global Education Policy Dashboard","World Bank",NA,3.09281798245614,0.09526425570607235,2.904594968553766,3.2810409963585143,0.009075278415231938,152
"SE.PRM.BIMP.3","(Impartial Decision-Making) average score for politicized policy-making","Global Education Policy Dashboard","World Bank",NA,3.9429223744292234,0.05306800565214489,3.8380706659725514,4.047774082885895,0.002816213223896082,146
"SE.PRM.BIMP.4","(Impartial Decision-Making) average score for politicized policy implementation","Global Education Policy Dashboard","World Bank",NA,3.725877192982456,0.11176234235927325,3.5050572772256325,3.9466971087392793,0.012490821169631404,152
"SE.PRM.BIMP.5","(Impartial Decision-Making) average score for employee unions as facilitators","Global Education Policy Dashboard","World Bank",NA,3.8761574074074074,0.05262186027601197,3.772187192504765,3.9801276223100497,0.0027690601789081264,144
"SE.PRM.BMAC","Politics & Bureaucratic Capacity - Mandates & Accountability","Global Education Policy Dashboard","World Bank","Survey of Public officials.  The aim of this indicator is to measure the extent to which the mandates are clearly defined and allocated in the legislation, as well as whether such allocation is reflected in practice.  Average score (1 (worst) , 5 (best)) on items given to public officials.",3.4221569906501412,0.07620134677614042,3.2715984516963657,3.572715529603917,0.005806645250497606,146
"SE.PRM.BMAC.1","Average score for Mandates & Accountability; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","Global Education Policy Dashboard","World Bank",NA,3.4221569906501412,0.07620134677614042,3.2715984516963657,3.572715529603917,0.005806645250497606,146
"SE.PRM.BMAC.2","(Mandates & Accountability) Average score for coherence","Global Education Policy Dashboard","World Bank",NA,3.564367816091954,0.07400769460133198,3.4181434927443957,3.710592139439512,0.005477138860204023,145
"SE.PRM.BMAC.3","(Mandates & Accountability) Average score for transparency","Global Education Policy Dashboard","World Bank",NA,2.8904109589041096,0.11273685857867267,2.6676655950497534,3.1131563227584658,0.012709599282187643,146
"SE.PRM.BMAC.4","(Mandates & Accountability) Average score for accountability of public officials","Global Education Policy Dashboard","World Bank",NA,3.8125,0.08712928148870994,3.640350059401577,3.984649940598423,0.007591511692738852,144
